CEO,companyName,description,exchange,industry,issueType,sector,symbol,tags,website
Mark E. Stoeckle,Adams Diversified Equity Fund Inc.,"Adams Diversified Equity Fund Inc is a diversified investment company. Its investment objectives is preservation of capital, the attainment of reasonable income from investments, and an opportunity for capital appreciation.",New York Stock Exchange,Asset Management,cs,Financial Services,ADX,"['Financial Services', 'Asset Management']",http://www.adamsfunds.com
Kenneth A. Berlin,Advaxis Inc.,"Advaxis Inc focuses on discovery, development, and commercialization of proprietary Lm (Listeria monocytogenes)-LLO (Listeriolysin O) cancer immunotherapies.",Nasdaq Global Select,Biotechnology,cs,Healthcare,ADXS,"['Healthcare', 'Biotechnology']",http://www.advaxis.com
,Adams Resources & Energy Inc.,"Adams Resources & Energy Inc along with its subsidiaries is engaged in marketing of crude oil, natural gas and petroleum products; tank truck transportation of liquid chemicals; and oil and gas exploration and production.",NYSE American,Oil & Gas - Integrated,cs,Energy,AE,"['Energy', 'Oil & Gas Integrated', 'Oil & Gas - Integrated']",http://www.adamsresources.com
Warner L. Baxter,Ameren Corporation,"Ameren Corp is an American power company. It operates a rate-regulated electric generation, transmission, and distribution business and a rate-regulated natural gas transmission and distribution business in Missouri and Illinois.",New York Stock Exchange,Utilities - Regulated,cs,Utilities,AEE,"['Utilities', 'Utilities - Regulated Electric', 'Utilities - Regulated']",http://www.ameren.com
Christian Pittard,Aberdeen Emerging Markets Equity Income Fund Inc.,"Aberdeen Chile Fund Inc is a closed-end investment company. Its investment objective is to seek total return, consisting of capital appreciation and income, by investing mainly in Chilean securities.",NYSE American,Asset Management,cs,Financial Services,AEF,"['Financial Services', 'Asset Management']",http://www.aberdeench.com
Alexander R Wynaendts,AEGON N.V.,"Aegon NV is engaged in providing life insurance, pensions and asset management products and services in the USA, Europe, and Asia. It offers life and protection, and accidental death products as well as individual savings and retirement products.",New York Stock Exchange,Insurance,cs,Financial Services,AEG,"['Financial Services', 'Insurance - Diversified', 'Insurance']",http://www.aegon.com
Charles R. Gordon,Aegion Corp,"Aegion Corp is an engineering and construction company combining technologies with market expertise. It provides solutions for the strengthening of buildings, bridges and other structures.",Nasdaq Global Select,Engineering & Construction,cs,Industrials,AEGN,"['Industrials', 'Engineering & Construction']",http://www.aegion.com
Gayn Erickson,Aehr Test Systems,"Aehr Test Systems is engaged in the designing, manufacturing and marketing of test and burn-in products to the semiconductor manufacturing industry in several geographic areas.",NASDAQ Capital Market,Semiconductors,cs,Technology,AEHR,"['Technology', 'Semiconductor Equipment & Materials', 'Semiconductors']",http://www.aehr.com
Yuval Wasserman,Advanced Energy Industries Inc.,Advanced Energy Industries Inc is engaged in providing precision power-conversion measurement and control solutions which transforms power into various forms for use in manufacturing and industrial equipment and applications.,Nasdaq Global Select,Computer Hardware,cs,Technology,AEIS,"['Technology', 'Electronic Components', 'Computer Hardware']",http://www.advancedenergy.com
John M. Matovina,American Equity Investment Life Holding Company,American Equity Investment Life Holding Co is engaged in the development and sale of fixed index and fixed rate annuity products. The company through its wholly-owned life insurance subsidiaries issues fixed annuity and life insurance products.,New York Stock Exchange,Insurance - Life,cs,Financial Services,AEL,"['Financial Services', 'Insurance - Life']",http://www.american-equity.com
Sean Boyd,Agnico Eagle Mines Limited,"Agnico Eagle Mines Ltd is a Canadian gold mining company. Its mining properties are located in Canada, Finland and Mexico as well as in United States and Sweden.",New York Stock Exchange,Metals & Mining,cs,Basic Materials,AEM,"['Basic Materials', 'Gold', 'Metals & Mining']",http://www.agnicoeagle.com
Timothy C. Rodell,Aethlon Medical Inc.,Aethlon Medical Inc is a medical technology company. It operates through two segments namely Aethlon for therapeutic applications and ESI for diagnostic applications.,NASDAQ Capital Market,Computer Hardware,cs,Technology,AEMD,"['Technology', 'Scientific & Technical Instruments', 'Computer Hardware']",http://www.aethlonmedical.com
Jay L. Schottenstein,American Eagle Outfitters Inc.,"American Eagle Outfitters is a retailer of apparel and accessories that also offers personal care products. It sells its products in stores as well as online. It operates stores in the USA, Canada, Mexico, Hong Kong, China and the UK.",New York Stock Exchange,Retail - Apparel & Specialty,cs,Consumer Cyclical,AEO,"['Consumer Cyclical', 'Apparel Stores', 'Retail - Apparel & Specialty']",http://www.ae.com
Nicholas K. Akins,American Electric Power Company Inc.,"American Electric Power Co Inc is a regulated utilities operator. The company generates, transmits and distributes electricity to more than 5 million retail customers across over 10 states in the United States of America.",New York Stock Exchange,Utilities - Regulated,cs,Utilities,AEP,"['Utilities', 'Utilities - Regulated Electric', 'Utilities - Regulated']",http://www.aep.com
Aengus Kelly,AerCap Holdings N.V.,"AerCap Holdings NV provides aircraft leasing and aviation finance services. Its activities also include aircraft asset management, corporate services, remarketing of aircraft, collecting rental, maintenance payments and monitoring aircraft maintenance.",New York Stock Exchange,Transportation & Logistics,cs,Industrials,AER,"['Industrials', 'Airports & Air Services', 'Transportation & Logistics']",http://www.aercap.com
Vicente Anido,Aerie Pharmaceuticals Inc.,"Aerie Pharmaceuticals Inc is a clinical-stage pharmaceutical company. It is engaged in the discovery, development and commercialization of first-in-class therapies for the treatment of patients with glaucoma and other diseases of the eye.",NASDAQ Global Market,Drug Manufacturers,cs,Healthcare,AERI,"['Healthcare', 'Drug Manufacturers - Major', 'Drug Manufacturers']",http://www.aeriepharma.com
Andres R. Gluski,The AES Corporation,"The AES Corp is a power generation and utility company. It is engaged in providing affordable, sustainable energy through its diverse portfolio of thermal and renewable generation facilities as well as distribution businesses.",New York Stock Exchange,Utilities - Regulated,cs,Utilities,AES,"['Utilities', 'Utilities - Diversified', 'Utilities - Regulated']",http://www.aes.com
Peter Menikoff,American Electric Technologies Inc.,"American Electric Technologies Inc is a provider of power delivery solutions to the global energy industry. The principal markets that company serves include power generation and distribution, oil and natural gas, marine and industrial.",NASDAQ Capital Market,Industrial Products,cs,Industrials,AETI,"['Industrials', 'Diversified Industrials', 'Industrial Products']",http://www.aeti.com
Joseph E. Hart,ADDvantage Technologies Group Inc.,"Addvantage Technologies Group Inc sells new, surplus and refurbished cable television equipment to cable television operators or other resellers. The Company's business segments are Cable Television and Telecommunications.",NASDAQ Global Market,Computer Hardware,cs,Technology,AEY,"['Technology', 'Electronics Distribution', 'Computer Hardware']",http://www.addvantagetechnologies.com
Todd Bankofier,AudioEye Inc.,AudioEye Inc provides web accessibility solutions by developing content publication and distribution software in the field of networked and device embedded audio technology.,NASDAQ Capital Market,Application Software,cs,Technology,AEYE,"['Technology', 'Software - Application', 'Application Software']",http://www.audioeye.com
Michael Ward,Aeterna Zentaris Inc.,"AEterna Zentaris Inc is a specialty biopharmaceutical company engaged in developing novel treatments in oncology, endocrinology and women's health.",NASDAQ Capital Market,Biotechnology,cs,Healthcare,AEZS,"['Healthcare', 'Biotechnology']",http://www.aezsinc.com
Robert M. Keith,AllianceBernstein National Municipal Income Fund Inc,"Alliancebernstein National Muni Inc Fd is a diversified, closed-end management investment company. It seeks to provide high current income exempt from regular federal income tax by investing substantially all of its net assets in municipal securities.",New York Stock Exchange,Asset Management,cs,Financial Services,AFB,"['Financial Services', 'Asset Management']",http://www.abfunds.com
Carl H. Lindner / S. Craig Lindner,American Financial Group Inc.,"American Financial Group Inc is a property and casualty insurance company that operates through its subsidiaries. It sells fixed and fixed-indexed annuities in the retail, financial institutions and education markets.",New York Stock Exchange,Insurance - Property & Casualty,cs,Financial Services,AFG,"['Financial Services', 'Insurance - Property & Casualty']",http://www.afginc.com
Scott Wollney,Atlas Financial Holdings Inc.,"Atlas Financial Holdings Inc underwrites commercial auto mobile insurance policies in the United States. It offers insurance for taxi cabs, limousine, non-emergency para-transit and livery and business autos.",NASDAQ Global Market,Insurance - Property & Casualty,cs,Financial Services,AFH,"['Financial Services', 'Insurance - Property & Casualty']",http://www.atlas-fin.com
Donald R. Maier,Armstrong Flooring Inc.,"Armstrong Flooring Inc designs, manufactures, sources, and sells resilient and wood flooring products, which are primarily used for construction and renovation of residential, commercial, and institutional buildings.",New York Stock Exchange,Building Materials,cs,Basic Materials,AFI,"['Basic Materials', 'Building Materials']",http://www.armstrongflooring.com
Edward M. Weil,American Finance Trust Inc.,"American Finance Trust Inc owns a diversified portfolio of commercial properties comprised of freestanding single-tenant properties and a portfolio of stabilized core retail properties, consistingof power centers & lifestyle centers.",Nasdaq Global Select,REITs,cs,Real Estate,AFIN,"['Real Estate', 'REIT - Diversified', 'REITs']",http://www.americanfinancetrust.com
Daniel P. Amos,AFLAC Incorporated,Aflac Inc is a general business holding company and acts as a management company. It offers supplemental health and life insurance in the U.S. and Japan.,New York Stock Exchange,Insurance - Life,cs,Financial Services,AFL,"['Financial Services', 'Insurance - Life']",http://www.aflac.com
Adi Hoess,Affimed N.V.,Affimed NV is a clinical-stage biopharmaceutical company. It is engaged in discovering and developing targeted cancer immunotherapies. Its product candidates are being developed in the field of immuno-oncology to fight tumor cells.,NASDAQ Global Market,Biotechnology,cs,Healthcare,AFMD,"['Healthcare', 'Biotechnology']",http://www.affimed.com
